malicious_votes,harmless_votes,malicious_ratio,shodan_blocked,dns_record_count,total_open_ports,high_risk_country,domain_age_days,has_wildcard_dns,nameserver_count,has_mx,otx_pulse_count,urlhaus_listed,domain_age_known,label,indicator
11,45,0.1964285714285714,0,0,0,0,1688,1,2,1,0,1,1,1,0
6,49,0.109090909090909,0,0,0,0,261,0,0,0,0,0,1,1,0
8,48,0.1428571428571428,0,2,0,0,153,0,0,0,0,1,1,1,0
6,49,0.109090909090909,0,0,0,0,13,0,2,0,0,0,1,1,0
2,53,0.0363636363636363,0,0,0,0,3650,0,0,0,0,0,1,1,0
3,56,0.0508474576271186,0,0,0,0,316,0,2,1,0,0,1,1,0
3,55,0.0517241379310344,0,3,0,0,0,0,2,1,0,0,0,1,0
17,43,0.2833333333333333,0,0,0,0,84,0,2,0,1,1,1,1,0
6,52,0.1034482758620689,0,0,0,0,281,0,2,1,0,0,1,1,0
6,49,0.109090909090909,0,0,0,0,329,0,0,0,0,0,1,1,0
15,47,0.2419354838709677,0,0,0,0,2756,1,0,0,0,1,1,1,0
14,44,0.2413793103448276,0,1,0,0,208,0,2,1,16,1,1,1,0
4,52,0.0714285714285714,0,6,0,0,3650,0,4,1,1,0,1,1,0
14,45,0.2372881355932203,0,0,0,0,2659,0,0,0,0,1,1,1,0
10,49,0.1694915254237288,0,1,0,0,730,1,0,0,1,0,1,1,0
19,40,0.3220338983050847,0,0,0,0,38,0,0,0,2,1,1,1,0
3,58,0.0491803278688524,0,10,0,0,3650,0,0,0,0,0,1,1,0
15,44,0.2542372881355932,0,0,0,0,48,0,0,0,1,0,1,1,0
15,45,0.25,0,0,0,0,3650,0,0,1,0,1,1,1,0
10,46,0.1785714285714285,0,0,0,0,1204,0,0,0,0,1,1,1,0
6,47,0.1132075471698113,0,0,0,0,0,0,0,0,5,0,0,1,0
12,49,0.1967213114754098,0,0,0,0,1586,0,0,0,0,1,1,1,0
0,55,0.0,0,10,0,0,1485,0,2,1,1,0,1,1,0
13,45,0.2241379310344827,0,0,0,0,23,0,2,0,5,1,1,1,0
2,55,0.0350877192982456,0,3,0,0,3650,0,2,1,1,0,1,1,0
9,47,0.1607142857142857,0,0,0,0,389,0,2,1,1,0,1,1,0
2,55,0.0350877192982456,0,3,0,0,2513,0,4,1,0,0,1,1,0
4,52,0.0714285714285714,0,0,0,0,258,0,0,0,0,0,1,1,0
16,44,0.2666666666666666,0,0,0,0,3650,0,0,1,0,1,1,1,0
21,40,0.3442622950819672,0,0,0,0,32,0,2,0,4,1,1,1,0
5,51,0.0892857142857142,0,1,0,0,2346,0,0,0,0,0,1,1,0
16,44,0.2666666666666666,0,0,0,0,1464,1,0,0,0,1,1,1,0
4,53,0.0701754385964912,0,0,0,0,397,1,0,0,0,1,1,1,0
10,48,0.1724137931034483,0,0,0,0,5,0,2,0,0,0,1,1,0
5,53,0.0862068965517241,0,0,0,0,333,1,2,1,0,0,1,1,0
7,51,0.1206896551724138,0,0,0,0,3650,0,0,1,0,0,1,1,0
6,52,0.1034482758620689,0,0,0,0,3650,0,0,0,0,0,1,1,0
4,53,0.0701754385964912,0,0,0,0,146,0,2,0,0,0,1,1,0
0,59,0.0,0,10,0,0,3650,1,0,0,0,1,1,1,0
4,53,0.0701754385964912,0,3,0,0,3650,0,2,1,1,0,1,1,0
4,52,0.0714285714285714,0,0,0,0,3650,0,4,1,0,0,1,1,0
5,54,0.0847457627118644,0,3,0,0,3650,1,2,1,1,0,1,1,0
4,50,0.074074074074074,0,0,0,0,118,0,2,0,0,0,1,1,0
8,49,0.1403508771929824,0,3,0,0,3639,0,0,0,0,0,1,1,0
19,41,0.3166666666666666,0,0,0,0,55,0,0,0,4,1,1,1,0
1,55,0.0178571428571428,0,0,0,0,3,1,2,0,0,0,1,1,0
6,51,0.1052631578947368,0,0,0,0,3650,0,0,0,0,0,1,1,0
8,49,0.1403508771929824,0,3,0,0,3650,0,2,1,3,0,1,1,0
4,52,0.0714285714285714,0,4,0,0,3650,0,2,1,0,0,1,1,0
17,43,0.2833333333333333,0,0,0,0,121,0,2,1,5,1,1,1,0
13,46,0.2203389830508474,0,0,0,0,1464,1,0,0,0,1,1,1,0
6,49,0.109090909090909,0,3,0,0,0,0,2,0,0,0,0,1,0
0,60,0.0,0,10,0,0,3650,0,8,1,0,1,1,1,0
9,49,0.1551724137931034,0,10,0,0,1179,0,2,0,50,1,1,1,0
9,49,0.1551724137931034,0,0,0,0,1221,0,0,0,0,1,1,1,0
12,44,0.2142857142857142,0,10,0,0,0,0,2,1,1,1,0,1,0
15,44,0.2542372881355932,0,0,0,0,805,0,0,0,0,0,1,1,0
5,52,0.087719298245614,0,10,0,0,3650,0,2,0,1,0,1,1,0
5,51,0.0892857142857142,0,2,0,0,0,0,2,1,0,0,0,1,0
4,52,0.0714285714285714,0,0,0,0,146,0,2,0,0,0,1,1,0
7,48,0.1272727272727272,0,0,0,0,128,0,0,0,2,1,1,1,0
8,49,0.1403508771929824,0,0,0,0,3317,1,0,0,0,1,1,1,0
16,40,0.2857142857142857,0,0,0,0,94,0,0,0,0,1,1,1,0
12,44,0.2142857142857142,0,0,0,0,131,0,0,0,1,1,1,1,0
16,43,0.2711864406779661,0,3,0,0,2306,0,2,1,5,1,1,1,0
3,51,0.0555555555555555,0,0,0,0,3650,0,0,0,0,0,1,1,0
1,57,0.0172413793103448,0,10,0,0,3650,0,0,0,0,1,1,1,0
3,52,0.0545454545454545,0,3,0,0,0,0,2,1,1,0,0,1,0
13,44,0.2280701754385964,0,0,0,0,131,1,2,1,3,1,1,1,0
7,49,0.125,0,4,0,0,2289,0,3,1,1,1,1,1,0
9,48,0.1578947368421052,0,0,0,0,153,0,0,0,0,1,1,1,0
5,51,0.0892857142857142,0,0,0,0,146,0,2,0,0,0,1,1,0
15,44,0.2542372881355932,0,0,0,0,124,0,0,0,0,1,1,1,0
7,48,0.1272727272727272,0,0,0,0,130,0,0,0,2,1,1,1,0
3,54,0.0526315789473684,0,0,0,0,198,0,2,0,0,0,1,1,0
4,55,0.0677966101694915,0,5,0,0,3650,0,2,1,1,0,1,1,0
9,47,0.1607142857142857,0,0,0,0,128,0,0,0,1,1,1,1,0
9,47,0.1607142857142857,0,0,0,0,128,0,0,0,0,1,1,1,0
5,50,0.0909090909090909,0,0,0,0,3650,0,0,0,0,0,1,1,0
1,58,0.0169491525423728,0,10,0,0,3650,0,0,0,0,1,1,1,0
12,46,0.2068965517241379,0,0,0,0,3650,0,0,1,0,1,1,1,0
17,42,0.288135593220339,0,0,0,0,3650,0,2,0,2,1,1,1,0
6,52,0.1034482758620689,0,10,0,0,3650,1,2,1,1,1,1,1,0
4,51,0.0727272727272727,0,3,0,0,2130,0,2,1,0,0,1,1,0
15,44,0.2542372881355932,0,0,0,0,85,0,0,0,2,1,1,1,0
10,48,0.1724137931034483,0,5,0,0,1514,0,2,1,1,0,1,1,0
5,51,0.0892857142857142,0,0,0,0,20,0,2,0,0,0,1,1,0
5,54,0.0847457627118644,0,2,0,0,1209,0,2,1,1,0,1,1,0
2,53,0.0363636363636363,0,5,0,0,3650,0,2,1,0,0,1,1,0
7,53,0.1166666666666666,0,10,0,0,3650,0,2,1,1,0,1,1,0
2,55,0.0350877192982456,0,0,0,0,2756,0,2,0,0,0,1,1,0
11,44,0.2,0,0,0,0,128,0,0,0,0,1,1,1,0
4,53,0.0701754385964912,0,6,0,0,3650,0,2,1,1,0,1,1,0
4,52,0.0714285714285714,0,0,0,0,3650,1,3,1,0,0,1,1,0
6,52,0.1034482758620689,0,3,0,0,3121,0,2,1,1,0,1,1,0
6,51,0.1052631578947368,0,0,0,0,295,0,2,1,0,0,1,1,0
7,50,0.1228070175438596,0,0,0,0,316,0,2,1,0,0,1,1,0
8,49,0.1403508771929824,0,0,0,0,13,0,0,0,1,1,1,1,0
7,47,0.1296296296296296,0,0,0,0,74,0,2,0,0,0,1,1,0
10,49,0.1694915254237288,0,0,0,0,1464,1,0,0,0,1,1,1,0
5,52,0.087719298245614,0,0,0,0,261,0,2,1,0,0,1,1,0
0,55,0.0,0,2,0,0,0,0,2,1,0,1,0,1,0
4,53,0.0701754385964912,0,0,0,0,1464,1,0,0,0,1,1,1,0
3,50,0.0566037735849056,0,0,0,0,6,1,2,0,0,0,1,1,0
